1	1962	284	20	84	-22	2.86790456	-25	17							
2	1963	307	23	112	-21	3.139840564	-25	20							
3	1964	316	21	139	-23	3.644015515	-27	18							
4	1965	299	18	105	-23	2.20804822	-25	16							
5	1966	263	21	110	-32	1.180288627	-33	19							
6	1967	309	18	125	-31	2.815805714	-34	15							
7	1968	280	19	105	-26	2.009070165	-28	17							
8	1969	274	21	141	-23	2.269623441	-25	19							
9	1970	296	19	144	-26	2.502677039	-28	17							
10	1971	278	19	125	-22	2.594657362	-24	17							
11	1972	279	23	124	-21	3.772648402	-24	19							
12	1973	283	22	73	-27	3.395767075	-30	19							
13	1974	263	22	94	-14	4.338764302	-18	18							
14	1975	312	22	106	-20	4.491330275	-25	18							
15	1976	325	18	93	-22	1.911964836	-24	16							
16	1977	261	20	139	-22	2.4504811	-25	18							
17	1978	308	20	141	-31	1.464970197	-33	19							
18	1979	289	18	123	-26	2.244434254	-28	16							
19	1980	309	22	126	-23	1.90770111	-24	20							
20	1981	302	19.01666667	81	-23	1.685383469	-25	17							
21	1982	308	19	121	-24	3.056730881	-27	16							
22	1983	286	23.02083333	129	-22	3.36796875	-25	20							
23	1984	311	20	104	-21	3.722985348	-25	17							
24	1985	269	20	101	-30.2125	0.425779003	-31	20							
25	1986	272	21	104	-27	1.931501652	-28	19							
26	1987	298	20	102	-31.075	0.962707081	-32	19							
27	1988	295	24	89	-22	2.895934562	-25	21							
28	1989	301	22	78	-23	4.604599951	-28	17							
29	1990	298	19	114	-21	4.536680631	-26	14							
30	1991	283	22	145	-16	3.718684997	-20	19							
31	1992	260	20	58	-15	2.992829515	-18	17							
32	1993	298	21	91	-20	3.482653411	-23	17							
33	1994	304	24	131	-26	3	-29	21							
34	1995	308	20	95	-21	3.546003431	-25	17							
35	1996	302	19	90	-21	3	-24	16							
36	1997	296	21	106	-19	5.018895883	-24	16							
37	1998	288	19	116	-20	2.792910399	-23	16							
38	1999	290	20	123	-30	3.51867215	-33	16							
39	2000	277	23	117	-17	4.651354267	-21	19							
40	2001	285	20	131	-24	2.977792223	-26	17							
41	2002	326	21	94	-23	3.713704696	-27	17							
42	2003	293	24	99	-30	3.716881608	-33	20							
43	2004	316	21	117	-22	3.589154705	-25	17							
44	2005	288	21	155	-17	4.323112392	-21	16							
45	2006	283	21	131	-22	4.363269054	-26	16							
46	2007	281	21	133	-21	4.310094929	-26	16							
47	2008	302	20	179	-10	4.523480442	-15	15							
48	2009	277	20	143	-22	3.556901086	-26	17							
49	2010	305	21	149	-25	1.916964286	-27	19							
50	2011	256	23	144	-24	4.682038946	-29	18							
51	2012	283	19	130	-25	3.412285944	-28	16							
52	2013	272	20	112	-21	4.345882896	-25	16							
53	2014	299	25	92	-18	5.163049214	-23	20							
54	2015	279	20	57	-15	5.276249285	-21	15							
55	2016	304	20	102	-23	4.203065539	-28	16							
56	2017	277	17.39166667	100	-23	4.213844528	-27	13							
57	2018	294	25	147	-20	4.267094165	-24	21							
58	2019	303	23.55	114	-21	3.968823053	-25	20							
59	2020	273	20.875	130	-14	5.697437161	-20	15							
															
															
															
															
															
															
															
															
															
															
															
															
															
